"pressure","Points:0","Points:1","Points:2"
61.564,0,0,0
61.749,0,0,0.005
61.935,0,0,0.01
62.121,0,0,0.015
62.306,0,0,0.02
62.457,0,0,0.025
62.599,0,0,0.03
62.741,0,0,0.035
62.883,0,0,0.04
63.025,0,0,0.045
63.167,0,0,0.05
63.311,0,0,0.055
63.456,0,0,0.06
63.601,0,0,0.065
63.745,0,0,0.07
63.89,0,0,0.075
63.703,0,0,0.08
63.496,0,0,0.085
63.29,0,0,0.09
63.084,0,0,0.095
62.878,0,0,0.1
62.672,0,0,0.105
62.465,0,0,0.11
62.258,0,0,0.115
62.051,0,0,0.12
61.857,0,0,0.125
61.664,0,0,0.13
61.595,0,0,0.135
61.536,0,0,0.14
61.496,0,0,0.145
61.454,0,0,0.15
61.412,0,0,0.155
61.371,0,0,0.16
61.329,0,0,0.165
61.287,0,0,0.17
61.245,0,0,0.175
61.203,0,0,0.18
61.161,0,0,0.185
61.119,0,0,0.19
61.085,0,0,0.195
61.063,0,0,0.2
60.99,0,0,0.205
60.916,0,0,0.21
60.843,0,0,0.215
60.769,0,0,0.22
60.696,0,0,0.225
60.623,0,0,0.23
60.544,0,0,0.235
60.447,0,0,0.24
60.35,0,0,0.245
60.26,0,0,0.25
60.177,0,0,0.255
60.094,0,0,0.26
60.012,0,0,0.265
59.948,0,0,0.27
59.879,0,0,0.275
59.808,0,0,0.28
59.738,0,0,0.285
59.667,0,0,0.29
59.6,0,0,0.295
59.548,0,0,0.3
59.497,0,0,0.305
59.446,0,0,0.31
59.395,0,0,0.315
59.343,0,0,0.32
59.284,0,0,0.325
59.212,0,0,0.33
59.139,0,0,0.335
59.067,0,0,0.34
58.994,0,0,0.345
58.925,0,0,0.35
58.883,0,0,0.355
58.841,0,0,0.36
58.799,0,0,0.365
58.757,0,0,0.37
58.716,0,0,0.375
58.674,0,0,0.38
58.632,0,0,0.385
58.59,0,0,0.39
58.549,0,0,0.395
58.488,0,0,0.4
58.417,0,0,0.405
58.346,0,0,0.41
58.275,0,0,0.415
58.209,0,0,0.42
58.158,0,0,0.425
58.111,0,0,0.43
58.064,0,0,0.435
58.017,0,0,0.44
57.97,0,0,0.445
57.922,0,0,0.45
57.875,0,0,0.455
57.828,0,0,0.46
57.781,0,0,0.465
57.734,0,0,0.47
57.687,0,0,0.475
57.626,0,0,0.48
57.557,0,0,0.485
57.497,0,0,0.49
57.46,0,0,0.495
57.423,0,0,0.5
57.386,0,0,0.505
57.349,0,0,0.51
57.308,0,0,0.515
57.265,0,0,0.52
57.223,0,0,0.525
57.18,0,0,0.53
57.138,0,0,0.535
57.096,0,0,0.54
57.049,0,0,0.545
56.991,0,0,0.55
56.932,0,0,0.555
56.865,0,0,0.56
56.793,0,0,0.565
56.719,0,0,0.57
56.622,0,0,0.575
56.525,0,0,0.58
56.428,0,0,0.585
56.331,0,0,0.59
56.254,0,0,0.595
56.181,0,0,0.6
56.108,0,0,0.605
56.035,0,0,0.61
55.962,0,0,0.615
55.889,0,0,0.62
55.82,0,0,0.625
55.754,0,0,0.63
55.689,0,0,0.635
55.623,0,0,0.64
55.558,0,0,0.645
55.493,0,0,0.65
55.418,0,0,0.655
55.344,0,0,0.66
55.268,0,0,0.665
55.221,0,0,0.67
55.173,0,0,0.675
55.126,0,0,0.68
55.079,0,0,0.685
55.032,0,0,0.69
54.984,0,0,0.695
54.935,0,0,0.7
54.887,0,0,0.705
54.838,0,0,0.71
54.79,0,0,0.715
54.742,0,0,0.72
54.693,0,0,0.725
54.645,0,0,0.73
54.597,0,0,0.735
54.548,0,0,0.74
54.5,0,0,0.745
54.452,0,0,0.75
54.411,0,0,0.755
54.38,0,0,0.76
54.331,0,0,0.765
54.249,0,0,0.77
54.166,0,0,0.775
54.083,0,0,0.78
54.025,0,0,0.785
53.958,0,0,0.79
53.872,0,0,0.795
53.787,0,0,0.8
53.701,0,0,0.805
53.615,0,0,0.81
53.529,0,0,0.815
53.444,0,0,0.82
53.358,0,0,0.825
53.275,0,0,0.83
53.211,0,0,0.835
53.148,0,0,0.84
53.084,0,0,0.845
53.021,0,0,0.85
52.958,0,0,0.855
52.899,0,0,0.86
52.841,0,0,0.865
52.782,0,0,0.87
52.723,0,0,0.875
52.665,0,0,0.88
52.606,0,0,0.885
52.55,0,0,0.89
52.498,0,0,0.895
52.447,0,0,0.9
52.396,0,0,0.905
52.342,0,0,0.91
52.287,0,0,0.915
52.231,0,0,0.92
52.176,0,0,0.925
52.121,0,0,0.93
52.066,0,0,0.935
52.01,0,0,0.94
51.955,0,0,0.945
51.9,0,0,0.95
51.845,0,0,0.955
51.789,0,0,0.96
51.734,0,0,0.965
51.676,0,0,0.97
51.61,0,0,0.975
51.544,0,0,0.98
51.484,0,0,0.985
51.418,0,0,0.99
51.352,0,0,0.995
51.287,0,0,1
51.221,0,0,1.005
51.156,0,0,1.01
51.091,0,0,1.015
51.026,0,0,1.02
50.961,0,0,1.025
50.896,0,0,1.03
50.831,0,0,1.035
50.765,0,0,1.04
50.694,0,0,1.045
50.622,0,0,1.05
50.551,0,0,1.055
50.479,0,0,1.06
50.418,0,0,1.065
50.358,0,0,1.07
50.297,0,0,1.075
50.237,0,0,1.08
50.177,0,0,1.085
50.116,0,0,1.09
50.061,0,0,1.095
50.011,0,0,1.1
49.962,0,0,1.105
49.912,0,0,1.11
49.858,0,0,1.115
49.795,0,0,1.12
49.732,0,0,1.125
49.67,0,0,1.13
49.607,0,0,1.135
49.544,0,0,1.14
49.481,0,0,1.145
49.414,0,0,1.15
49.347,0,0,1.155
49.28,0,0,1.16
49.213,0,0,1.165
49.146,0,0,1.17
49.079,0,0,1.175
49.012,0,0,1.18
48.952,0,0,1.185
48.894,0,0,1.19
48.836,0,0,1.195
48.778,0,0,1.2
48.722,0,0,1.205
48.666,0,0,1.21
48.61,0,0,1.215
48.554,0,0,1.22
48.498,0,0,1.225
48.442,0,0,1.23
48.386,0,0,1.235
48.331,0,0,1.24
48.275,0,0,1.245
48.219,0,0,1.25
48.162,0,0,1.255
48.105,0,0,1.26
48.047,0,0,1.265
47.989,0,0,1.27
47.929,0,0,1.275
47.856,0,0,1.28
47.792,0,0,1.285
47.719,0,0,1.29
47.647,0,0,1.295
47.575,0,0,1.3
47.502,0,0,1.305
47.43,0,0,1.31
47.358,0,0,1.315
47.285,0,0,1.32
47.213,0,0,1.325
47.141,0,0,1.33
47.066,0,0,1.335
46.986,0,0,1.34
46.906,0,0,1.345
46.826,0,0,1.35
46.742,0,0,1.355
46.652,0,0,1.36
46.567,0,0,1.365
46.491,0,0,1.37
46.431,0,0,1.375
46.37,0,0,1.38
46.308,0,0,1.385
46.232,0,0,1.39
46.155,0,0,1.395
46.104,0,0,1.4
46.076,0,0,1.405
46.048,0,0,1.41
46.01,0,0,1.415
45.959,0,0,1.42
45.909,0,0,1.425
45.858,0,0,1.43
45.807,0,0,1.435
45.756,0,0,1.44
45.706,0,0,1.445
45.654,0,0,1.45
45.601,0,0,1.455
45.548,0,0,1.46
45.494,0,0,1.465
45.441,0,0,1.47
45.395,0,0,1.475
45.35,0,0,1.48
45.282,0,0,1.485
45.208,0,0,1.49
45.136,0,0,1.495
45.065,0,0,1.5
44.994,0,0,1.505
44.926,0,0,1.51
44.858,0,0,1.515
44.79,0,0,1.52
44.722,0,0,1.525
44.653,0,0,1.53
44.585,0,0,1.535
44.515,0,0,1.54
44.445,0,0,1.545
44.375,0,0,1.55
44.305,0,0,1.555
44.241,0,0,1.56
44.181,0,0,1.565
44.122,0,0,1.57
44.062,0,0,1.575
44.002,0,0,1.58
43.942,0,0,1.585
43.882,0,0,1.59
43.823,0,0,1.595
43.766,0,0,1.6
43.709,0,0,1.605
43.652,0,0,1.61
43.595,0,0,1.615
43.539,0,0,1.62
43.484,0,0,1.625
43.408,0,0,1.63
43.335,0,0,1.635
43.261,0,0,1.64
43.187,0,0,1.645
43.114,0,0,1.65
43.041,0,0,1.655
42.968,0,0,1.66
42.895,0,0,1.665
42.822,0,0,1.67
42.749,0,0,1.675
42.676,0,0,1.68
42.62,0,0,1.685
42.577,0,0,1.69
42.535,0,0,1.695
42.496,0,0,1.7
42.463,0,0,1.705
42.411,0,0,1.71
42.358,0,0,1.715
42.306,0,0,1.72
42.256,0,0,1.725
42.207,0,0,1.73
42.161,0,0,1.735
42.117,0,0,1.74
42.074,0,0,1.745
42.003,0,0,1.75
41.925,0,0,1.755
41.847,0,0,1.76
41.769,0,0,1.765
41.691,0,0,1.77
41.613,0,0,1.775
41.534,0,0,1.78
41.456,0,0,1.785
41.378,0,0,1.79
41.3,0,0,1.795
41.221,0,0,1.8
41.142,0,0,1.805
41.062,0,0,1.81
40.983,0,0,1.815
40.903,0,0,1.82
40.828,0,0,1.825
40.759,0,0,1.83
40.678,0,0,1.835
40.588,0,0,1.84
40.545,0,0,1.845
40.498,0,0,1.85
40.448,0,0,1.855
40.397,0,0,1.86
40.347,0,0,1.865
40.297,0,0,1.87
40.247,0,0,1.875
40.196,0,0,1.88
40.156,0,0,1.885
40.117,0,0,1.89
40.077,0,0,1.895
40.038,0,0,1.9
39.983,0,0,1.905
39.914,0,0,1.91
39.845,0,0,1.915
39.776,0,0,1.92
39.708,0,0,1.925
39.643,0,0,1.93
39.584,0,0,1.935
39.518,0,0,1.94
39.453,0,0,1.945
39.387,0,0,1.95
39.321,0,0,1.955
39.259,0,0,1.96
39.204,0,0,1.965
39.149,0,0,1.97
39.094,0,0,1.975
39.036,0,0,1.98
38.966,0,0,1.985
38.896,0,0,1.99
38.831,0,0,1.995
38.767,0,0,2
38.702,0,0,2.005
38.638,0,0,2.01
38.574,0,0,2.015
38.51,0,0,2.02
38.447,0,0,2.025
38.384,0,0,2.03
38.322,0,0,2.035
38.259,0,0,2.04
38.197,0,0,2.045
38.134,0,0,2.05
38.064,0,0,2.055
37.994,0,0,2.06
37.924,0,0,2.065
37.853,0,0,2.07
37.773,0,0,2.075
37.693,0,0,2.08
37.631,0,0,2.085
37.568,0,0,2.09
37.506,0,0,2.095
37.436,0,0,2.1
37.376,0,0,2.105
37.329,0,0,2.11
37.281,0,0,2.115
37.233,0,0,2.12
37.186,0,0,2.125
37.138,0,0,2.13
37.086,0,0,2.135
37.004,0,0,2.14
36.921,0,0,2.145
36.839,0,0,2.15
36.757,0,0,2.155
36.675,0,0,2.16
36.593,0,0,2.165
36.53,0,0,2.17
36.467,0,0,2.175
36.393,0,0,2.18
36.32,0,0,2.185
36.247,0,0,2.19
36.173,0,0,2.195
36.104,0,0,2.2
36.051,0,0,2.205
35.997,0,0,2.21
35.944,0,0,2.215
35.889,0,0,2.22
35.826,0,0,2.225
35.763,0,0,2.23
35.7,0,0,2.235
35.637,0,0,2.24
35.574,0,0,2.245
35.511,0,0,2.25
35.449,0,0,2.255
35.389,0,0,2.26
35.329,0,0,2.265
35.269,0,0,2.27
35.209,0,0,2.275
35.149,0,0,2.28
35.089,0,0,2.285
35.03,0,0,2.29
34.974,0,0,2.295
34.917,0,0,2.3
34.859,0,0,2.305
34.801,0,0,2.31
34.744,0,0,2.315
34.686,0,0,2.32
34.628,0,0,2.325
34.571,0,0,2.33
34.513,0,0,2.335
34.455,0,0,2.34
34.398,0,0,2.345
34.327,0,0,2.35
34.248,0,0,2.355
34.173,0,0,2.36
34.099,0,0,2.365
34.025,0,0,2.37
33.946,0,0,2.375
33.866,0,0,2.38
33.787,0,0,2.385
33.707,0,0,2.39
33.629,0,0,2.395
33.552,0,0,2.4
33.475,0,0,2.405
33.397,0,0,2.41
33.32,0,0,2.415
33.258,0,0,2.42
33.196,0,0,2.425
33.133,0,0,2.43
33.071,0,0,2.435
33.009,0,0,2.44
32.947,0,0,2.445
32.893,0,0,2.45
32.839,0,0,2.455
32.786,0,0,2.46
32.729,0,0,2.465
32.67,0,0,2.47
32.611,0,0,2.475
32.552,0,0,2.48
32.49,0,0,2.485
32.426,0,0,2.49
32.363,0,0,2.495
32.3,0,0,2.5
32.236,0,0,2.505
32.173,0,0,2.51
32.11,0,0,2.515
32.046,0,0,2.52
31.983,0,0,2.525
31.92,0,0,2.53
31.855,0,0,2.535
31.789,0,0,2.54
31.729,0,0,2.545
31.669,0,0,2.55
31.61,0,0,2.555
31.551,0,0,2.56
31.497,0,0,2.565
31.442,0,0,2.57
31.387,0,0,2.575
31.332,0,0,2.58
31.276,0,0,2.585
31.206,0,0,2.59
31.136,0,0,2.595
31.065,0,0,2.6
30.995,0,0,2.605
30.925,0,0,2.61
30.854,0,0,2.615
30.784,0,0,2.62
30.714,0,0,2.625
30.643,0,0,2.63
30.573,0,0,2.635
30.503,0,0,2.64
30.432,0,0,2.645
30.363,0,0,2.65
30.309,0,0,2.655
30.255,0,0,2.66
30.186,0,0,2.665
30.131,0,0,2.67
30.075,0,0,2.675
30.036,0,0,2.68
29.982,0,0,2.685
29.916,0,0,2.69
29.85,0,0,2.695
29.784,0,0,2.7
29.717,0,0,2.705
29.651,0,0,2.71
29.585,0,0,2.715
29.518,0,0,2.72
29.452,0,0,2.725
29.383,0,0,2.73
29.301,0,0,2.735
29.235,0,0,2.74
29.171,0,0,2.745
29.107,0,0,2.75
29.042,0,0,2.755
28.978,0,0,2.76
28.914,0,0,2.765
28.849,0,0,2.77
28.785,0,0,2.775
28.733,0,0,2.78
28.689,0,0,2.785
28.644,0,0,2.79
28.6,0,0,2.795
28.555,0,0,2.8
28.511,0,0,2.805
28.466,0,0,2.81
28.415,0,0,2.815
28.355,0,0,2.82
28.278,0,0,2.825
28.2,0,0,2.83
28.123,0,0,2.835
28.046,0,0,2.84
27.968,0,0,2.845
27.891,0,0,2.85
27.812,0,0,2.855
27.722,0,0,2.86
27.649,0,0,2.865
27.58,0,0,2.87
27.523,0,0,2.875
27.466,0,0,2.88
27.401,0,0,2.885
27.341,0,0,2.89
