step	inlet	outlet	
00000	-0.000312	0.000312	
00100	-125.000000	123.530025	
00200	-125.000000	124.983475	
00300	-125.000000	124.998681	
00400	-125.000000	125.001136	
00500	-125.000000	125.000201	
00600	-125.000000	125.000039	
00700	-125.000000	124.999988	
00800	-125.000000	124.999995	
00900	-125.000000	124.999997	
01000	-125.000000	124.999998	
01100	-125.000000	124.999998	
01200	-125.000000	125.000000	
01300	-125.000000	125.000000	
01400	-125.000000	125.000000	
01500	-125.000000	125.000000	
01600	-125.000000	125.000000	
01700	-125.000000	125.000000	
01800	-125.000000	125.000000	
01900	-125.000000	125.000000	
02000	-125.000000	125.000000	
02100	-125.000000	125.000000	
02200	-125.000000	125.000000	
02300	-125.000000	125.000000	
02400	-125.000000	125.000000	
02500	-125.000000	125.000000	
02600	-125.000000	125.000000	
02700	-125.000000	125.000000	
02800	-125.000000	125.000000	
02900	-125.000000	nan	
03000	-125.000000	nan	
