step	inlet	outlet	
00000	0.000000	0.000000	
00100	-370.070702	-1.068213	
00200	83.918973	0.693800	
00300	65.172134	0.384712	
00400	62.453480	0.367235	
00500	61.844249	0.365823	
00600	61.947992	0.366237	
00700	61.820898	0.366220	
00800	61.825565	0.366235	
00900	61.836183	0.366251	
01000	61.832917	0.366209	
01100	61.832434	0.366208	
01200	61.832947	0.366207	
01300	61.832553	0.366208	
01400	61.832560	0.366208	
01500	61.832556	0.366208	
01600	61.832557	0.366208	
01700	61.832558	0.366208	
01800	61.832556	0.366208	
01900	61.832557	0.366208	
02000	61.832557	0.366208	
02100	61.832557	0.366208	
02200	61.832557	0.366208	
02300	61.832557	0.366208	
02400	61.832557	0.366208	
02500	61.832557	0.366208	
02600	61.832557	0.366208	
02700	61.832557	0.366208	
02800	61.832557	0.366208	
02900	nan	nan	
03000	nan	nan	
