step	inlet	outlet	
00000	-0.000312	0.000325	
00100	-125.000000	124.397162	
00200	-125.000000	124.990327	
00300	-125.000000	124.997777	
00400	-125.000000	125.000802	
00500	-125.000000	125.000099	
00600	-125.000000	125.000190	
00700	-125.000000	124.999858	
00800	-125.000000	124.999999	
00900	-125.000000	124.999985	
01000	-125.000000	124.999990	
01100	-125.000000	125.000003	
01200	-125.000000	125.000001	
01300	-125.000000	125.000001	
01400	-125.000000	125.000001	
01500	-125.000000	125.000001	
01600	-125.000000	125.000001	
01700	-125.000000	125.000001	
01800	-125.000000	125.000000	
01900	-125.000000	125.000000	
02000	-125.000000	125.000000	
02100	-125.000000	125.000001	
02200	-125.000000	125.000001	
02300	-125.000000	125.000000	
02400	-125.000000	125.000000	
02500	-125.000000	125.000000	
02600	-125.000000	125.000000	
02700	-125.000000	125.000000	
02800	-125.000000	125.000000	
02900	-125.000000	125.000000	
03000	-125.000000	125.000000	
