step	inlet	outlet	
00000	0.000000	0.000000	
00100	-383.346742	-0.546796	
00200	25.020275	0.586050	
00300	20.640050	0.281773	
00400	20.629757	0.299595	
00500	20.510780	0.297482	
00600	20.580940	0.300301	
00700	20.503808	0.300344	
00800	20.574602	0.300297	
00900	20.528926	0.300507	
01000	20.541982	0.300518	
01100	20.541891	0.300525	
01200	20.541477	0.300526	
01300	20.540824	0.300530	
01400	20.541591	0.300530	
01500	20.541545	0.300529	
01600	20.541574	0.300530	
01700	20.541588	0.300530	
01800	20.541585	0.300530	
01900	20.541577	0.300530	
02000	20.541586	0.300530	
02100	20.541586	0.300530	
02200	20.541586	0.300530	
02300	20.541586	0.300530	
02400	20.541586	0.300530	
02500	20.541586	0.300530	
02600	20.541586	0.300530	
02700	20.541586	0.300530	
02800	20.541586	0.300530	
02900	20.541586	0.300530	
03000	20.541586	0.300530	
