"pressure","Points:0","Points:1","Points:2"
203.77,0,0,0
204.12,0,0,0.02
204.46,0,0,0.04
204.89,0,0,0.06
204.56,0,0,0.08
204.02,0,0,0.1
203.48,0,0,0.12
203.29,0,0,0.14
203.23,0,0,0.16
203.15,0,0,0.18
203.05,0,0,0.2
202.95,0,0,0.22
202.58,0,0,0.24
202.2,0,0,0.26
201.82,0,0,0.28
201.55,0,0,0.3
201.46,0,0,0.32
201.38,0,0,0.34
201.32,0,0,0.36
201.19,0,0,0.38
200.94,0,0,0.4
200.69,0,0,0.42
200.44,0,0,0.44
200.19,0,0,0.46
199.96,0,0,0.48
199.79,0,0,0.5
199.6,0,0,0.52
199.37,0,0,0.54
199.14,0,0,0.56
198.94,0,0,0.58
198.78,0,0,0.6
198.64,0,0,0.62
198.54,0,0,0.64
198.45,0,0,0.66
198.25,0,0,0.68
198.02,0,0,0.7
197.77,0,0,0.72
197.52,0,0,0.74
197.32,0,0,0.76
197.15,0,0,0.78
196.98,0,0,0.8
196.81,0,0,0.82
196.64,0,0,0.84
196.45,0,0,0.86
196.16,0,0,0.88
195.89,0,0,0.9
195.74,0,0,0.92
195.6,0,0,0.94
195.48,0,0,0.96
195.28,0,0,0.98
195.07,0,0,1
194.86,0,0,1.02
194.65,0,0,1.04
194.4,0,0,1.06
194.14,0,0,1.08
193.92,0,0,1.1
193.74,0,0,1.12
193.58,0,0,1.14
193.42,0,0,1.16
193.26,0,0,1.18
193.07,0,0,1.2
192.86,0,0,1.22
192.65,0,0,1.24
192.45,0,0,1.26
192.24,0,0,1.28
192,0,0,1.3
191.84,0,0,1.32
191.61,0,0,1.34
191.39,0,0,1.36
191.2,0,0,1.38
191.03,0,0,1.4
190.84,0,0,1.42
190.65,0,0,1.44
190.41,0,0,1.46
190.19,0,0,1.48
190.02,0,0,1.5
189.86,0,0,1.52
189.7,0,0,1.54
189.5,0,0,1.56
189.3,0,0,1.58
189.08,0,0,1.6
188.84,0,0,1.62
188.6,0,0,1.64
188.42,0,0,1.66
188.27,0,0,1.68
188.12,0,0,1.7
187.94,0,0,1.72
187.67,0,0,1.74
187.39,0,0,1.76
187.17,0,0,1.78
186.98,0,0,1.8
186.87,0,0,1.82
186.77,0,0,1.84
186.64,0,0,1.86
186.32,0,0,1.88
186.02,0,0,1.9
185.76,0,0,1.92
185.52,0,0,1.94
185.28,0,0,1.96
185.05,0,0,1.98
184.92,0,0,2
184.81,0,0,2.02
184.72,0,0,2.04
184.55,0,0,2.06
184.37,0,0,2.08
184.15,0,0,2.1
183.95,0,0,2.12
183.71,0,0,2.14
183.46,0,0,2.16
183.23,0,0,2.18
183.03,0,0,2.2
182.85,0,0,2.22
182.66,0,0,2.24
182.46,0,0,2.26
182.27,0,0,2.28
182.09,0,0,2.3
181.92,0,0,2.32
181.74,0,0,2.34
181.55,0,0,2.36
181.33,0,0,2.38
181.16,0,0,2.4
180.94,0,0,2.42
180.71,0,0,2.44
180.4,0,0,2.46
180.1,0,0,2.48
179.9,0,0,2.5
179.71,0,0,2.52
179.57,0,0,2.54
179.43,0,0,2.56
179.27,0,0,2.58
179.01,0,0,2.6
178.75,0,0,2.62
178.53,0,0,2.64
178.33,0,0,2.66
178.16,0,0,2.68
177.92,0,0,2.7
177.67,0,0,2.72
177.5,0,0,2.74
177.34,0,0,2.76
177.07,0,0,2.78
176.83,0,0,2.8
176.62,0,0,2.82
176.48,0,0,2.84
176.35,0,0,2.86
176.18,0,0,2.88
176.01,0,0,2.9
175.83,0,0,2.92
175.61,0,0,2.94
175.39,0,0,2.96
175.09,0,0,2.98
174.82,0,0,3
174.6,0,0,3.02
174.42,0,0,3.04
174.27,0,0,3.06
174.13,0,0,3.08
173.94,0,0,3.1
173.75,0,0,3.12
173.56,0,0,3.14
173.36,0,0,3.16
173.15,0,0,3.18
172.97,0,0,3.2
172.8,0,0,3.22
172.62,0,0,3.24
172.41,0,0,3.26
172.14,0,0,3.28
171.91,0,0,3.3
171.69,0,0,3.32
171.47,0,0,3.34
171.26,0,0,3.36
171.02,0,0,3.38
170.79,0,0,3.4
170.61,0,0,3.42
170.37,0,0,3.44
170.13,0,0,3.46
169.94,0,0,3.48
169.81,0,0,3.5
